function,security,client,edgeUser,edgeSvc,policy,inFn,trigger,default,grants,policy_files,called_inside,client_sites,edge_sites
"is_circle_medication","definer","0","0","0","8","0","0","0","authenticated","deployment/dose-proof-storage.sql 20260610120000_harden_medication_rls_ownership_checks.sql 20260626161000_backfill_phase_2d_responsibility_rls.sql","","",""
"is_circle_medication_schedule","definer","0","0","0","0","0","0","0","authenticated","","","",""
"is_circle_medication_schedule_for_medication","definer","0","0","0","4","0","0","0","authenticated","20260610120000_harden_medication_rls_ownership_checks.sql 20260626161000_backfill_phase_2d_responsibility_rls.sql","","",""
"is_circle_member","definer","0","0","0","18","9","0","0","","deployment/dose-proof-storage.sql 20260607033000_initial_core_schema.sql 20260608120000_create_emergency_contacts.sql 20260608120100_create_doctors.sql","list_care_activity foo claim_care_task claim_care_appointment claim_family_visit claim_medication_responsibility","",""
"is_responsible_for_medication","definer","0","0","0","8","0","0","0","authenticated","deployment/dose-proof-storage.sql 20260626161000_backfill_phase_2d_responsibility_rls.sql 20260726160000_caregiver_least_privilege_rls.sql","","",""
"is_user_circle_member","definer","0","0","0","2","0","0","0","authenticated","20260610100000_create_daily_care_logs.sql 20260610100100_create_vital_readings.sql","","",""
"is_valid_timezone","definer","0","0","0","0","3","0","0","authenticated|service_role","","upsert_notification_preferences set_circle_timezone","",""
"leave_care_circle","definer","1","0","0","0","0","0","0","authenticated","","","src/features/circle-members/api.ts:59  [supabase]",""
"list_available_to_claim","definer","1","0","0","0","4","0","0","authenticated","","claim_care_task claim_care_appointment claim_family_visit claim_medication_responsibility","src/features/claiming/api.ts:37  [supabase]",""
"list_care_activity","definer","1","0","0","0","6","0","0","authenticated","","claim_care_task claim_care_appointment claim_family_visit claim_medication_responsibility list_available_to_claim set_assigned_appointment_outcome","src/features/pulse/api.ts:19  [supabase]",""
"list_circle_invitations","definer","1","0","0","0","0","0","0","authenticated","","","src/features/invitations/api.ts:84  [supabase]",""
"list_circle_members","definer","1","0","0","0","7","0","0","authenticated","","claim_care_task claim_care_appointment claim_family_visit claim_medication_responsibility list_available_to_claim set_assigned_appointment_outcome","src/features/circle-members/api.ts:27  [supabase]",""
"mark_all_notifications_read","definer","1","0","0","0","0","0","0","authenticated","","","src/features/notifications/api.ts:139  [supabase]",""
"mark_delivery_failed","definer","0","0","0","0","0","0","0","service_role","","","",""
"mark_delivery_sent","definer","0","0","0","0","0","0","0","service_role","","","",""
"mark_delivery_skipped","definer","0","0","0","0","0","0","0","service_role","","","",""
"mark_stale_receipts_unchecked","definer","0","0","0","0","0","0","0","service_role","","","",""
"normalize_invitation_code","invoker(default)","0","0","0","0","1","0","0","","","hash_invitation_code","",""
"notification_defer_until","definer","0","0","0","0","3","0","0","service_role","","enqueue_notification fanout_due_notifications claim_push_deliveries","",""
"notification_item_managers","definer","0","0","1","0","1","0","0","service_role","","notification_recipients_for_item_event","","supabase/functions/_shared/enqueue.ts:139  [sb]"
"notification_item_owner","definer","0","0","0","0","1","0","0","service_role","","notification_recipients_for_item_event","",""
"notification_recipient_current","definer","0","0","0","0","1","0","0","service_role","","notification_source_validity","",""
"notification_recipient_eligible","definer","0","0","0","0","5","0","0","service_role","","circle_notification_recipients fanout_due_notifications claim_push_deliveries notification_recipients_for_item_event notification_recipient_current","",""
"notification_recipients_for_item_event","definer","0","0","1","0","1","0","0","service_role","","notification_recipient_current","","supabase/functions/_shared/enqueue.ts:118  [sb]"
"notification_source_validity","definer","0","0","0","0","2","0","0","service_role","","fanout_due_notifications claim_push_deliveries","",""
"record_delivery_receipt","definer","0","0","0","0","0","0","0","service_role","","","",""
"register_push_token","definer","1","0","0","0","0","0","0","authenticated","","","src/features/notifications/api.ts:187  [supabase]",""
"revoke_circle_invitation","definer","1","0","0","0","0","0","0","authenticated","","","src/features/invitations/api.ts:101  [supabase]",""
"set_assigned_appointment_outcome","definer","1","0","0","0","5","0","0","authenticated","","claim_care_task claim_care_appointment claim_family_visit claim_medication_responsibility list_available_to_claim","src/features/claiming/api.ts:105  [supabase]",""
"set_circle_timezone","definer","2","0","0","0","0","0","0","authenticated","","","src/features/care-circle/api.ts:58  [supabase] src/features/circle-selection/api.ts:77  [supabase]",""
"set_missed_dose_grace_minutes","definer","1","0","0","0","0","0","0","authenticated","","","src/features/circle-selection/missed-dose-grace.ts:39  [supabase]",""
"set_notification_read","definer","1","0","0","0","0","0","0","authenticated","","","src/features/notifications/api.ts:131  [supabase]",""
"set_updated_at","invoker(default)","0","0","0","0","0","1","0","","","","",""
"storage_path_uuid","invoker(default)","0","0","0","5","0","0","0","authenticated","deployment/dose-proof-storage.sql","","",""
"transfer_circle_ownership","definer","1","0","0","0","0","0","0","authenticated","","","src/features/circle-members/api.ts:68  [supabase]",""
"update_circle_member_role","definer","1","0","0","0","1","0","0","authenticated","","create_circle_invitation","src/features/circle-members/api.ts:43  [supabase]",""
"update_circle_member_status","definer","1","0","0","0","0","0","0","authenticated","","","src/features/circle-members/api.ts:51  [supabase]",""
"upsert_notification_preferences","definer","1","0","0","0","0","0","0","authenticated","","","src/features/notifications/api.ts:157  [supabase]",""
